2015-07-24: *, *****, 77, *, 722, 16, 85, 57, SCT, 0.00, 0.00, *****, 76, 10.0, *, 9, 0
2015-07-27: *, 0.00, 78, *, 250, 26, 85, 69, SCT, 0.00, 0.00, 0.00, 78, 10.0, *, 11, 0
2015-07-26: *, *****, 78, *, 120, 28, 87, 67, BKN, 0.00, 0.00, *****, 78, 10.0, *, 20, 0
2015-07-29: *, *****, 81, *, 722, 24, 92, 72, SCT, 0.00, 0.00, *****, 81, 10.0, *, 17, 0
2015-07-28: *, *****, 80, *, 722, ***, 89, 72, SCT, 0.00, 0.00, *****, 80, 10.0, *, 13, 0
2015-01-31: *, *****, 25, *, 722, 28, 27, 2, SCT, 0.01, 0.00, *****, 23, 10.0, *, 22, 7
2015-11-06: *, *****, 67, *, 240, ***, 75, 61, BKN, 0.01, 0.00, 0.00, 64, 10.0, *, 8, 0
2015-11-07: *, 0.00, 59, *, 110, 25, 64, 36, OVC, 0.00, 0.00, 0.00, 59, 10.0, *, 18, 0
2015-11-04: *, *****, 57, *, 722, ***, 69, 52, CLR, 0.00, 0.00, *****, 57, 10.0, *, 3, 0
2015-11-05: *, *****, 64, *, 22, ***, 69, 61, OVC, 0.00, 0.00, 0.00, 64, 10.0, *, 5, 0
2015-11-02: *, *****, 56, *, 250, ***, 65, 48, BKN, 0.00, 0.00, *****, 55, 10.0, *, 6, 0
2015-11-03: *, *****, 59, *, 722, ***, 70, 54, CLR, 0.00, 0.00, *****, 59, 10.0, *, 0, 0
2015-11-01: *, *****, 60, *, 250, 23, 64, 53, BKN, 0.00, 0.00, *****, 60, 10.0, *, 13, 0
2015-11-08: *, *****, 53, *, 722, 17, 60, 29, SCT, 0.00, 0.00, *****, 53, 10.0, *, 5, 0
2015-11-09: *, *****, 55, *, 250, ***, 58, 40, BKN, 0.00, 0.00, *****, 53, 10.0, *, 0, 0
2015-06-15: *, 0.01, 69, *, 11, 17, 81, 64, OVC, 1.25, 0.00, 0.15, 69, 10.0, *, 9, 0
2015-06-14: *, 0.00, 74, *, 250, ***, 86, 59, BKN, 0.00, 0.00, 0.00, 74, 10.0, *, 15, 0
2015-06-17: *, *****, 68, *, 110, 22, 78, 60, BKN, 0.08, 0.00, 0.08, 67, 10.0, *, 9, 0
2015-06-16: *, *****, 77, *, 130, ***, 77, 70, BKN, 0.15, 0.00, 0.08, 70, 10.0, *, 10, 0
2015-06-11: *, *****, 76, *, 250, ***, 85, 65, BKN, 0.00, 0.00, *****, 76, 9.1, *, 6, 0
2015-06-10: *, *****, 70, *, 722, 26, 79, 59, SCT, 0.00, 0.00, *****, 70, 10.0, *, 11, 0
2015-06-13: *, *****, 83, *, 260, 21, 88, 56, BKN, 0.00, 0.00, *****, 82, 10.0, *, 8, 0
2015-06-12: *, 0.00, 76, *, 250, 29, 84, 67, BKN, 0.00, 0.00, 0.00, 75, 10.0, *, 18, 0
2015-12-12: *, 0.00, 55, *, 250, ***, 64, 51, BKN, 0.00, 0.00, 0.00, 55, 9.1, *, 5, 0
2015-12-13: *, *****, 55, *, 250, ***, 68, 47, BKN, 0.00, 0.00, 0.00, 54, 10.0, *, 13, 0
2015-12-10: *, *****, 53, *, 250, 26, 59, 48, BKN, 0.00, 0.00, *****, 50, 9.1, *, 8, 0
2015-12-11: *, *****, 55, *, 250, ***, 58, 49, BKN, 0.00, 0.00, *****, 51, 10.0, *, 9, 0
2015-06-19: *, 0.00, 82, *, 250, 16, 89, 62, BKN, 0.00, 0.00, 0.00, 81, 10.0, *, 6, 0
2015-06-18: *, 0.00, 67, *, 8, ***, 70, 61, OVC, 0.00, 0.00, 0.00, 66, 10.0, *, 9, 0
2015-12-14: *, 0.00, 59, *, 65, ***, 59, 55, BKN, 0.00, 0.00, 0.00, 57, 10.0, *, 18, 0
2015-12-15: *, 0.08, 57, *, 50, 25, 62, 36, BKN, 0.45, 0.00, 0.08, 57, 10.0, *, 15, 0
2015-08-30: *, *****, 79, *, 250, ***, 84, 70, BKN, 0.00, 0.00, *****, 79, 10.0, *, 11, 0
2015-05-09: *, 0.00, 59, *, 2, ***, 64, 56, OVC, 0.00, 0.00, 0.00, 59, 0.5, *, 6, 0
2015-05-08: *, *****, 61, *, 722, ***, 72, 55, SCT, 0.00, 0.00, *****, 61, 10.0, *, 6, 0
2015-05-01: *, *****, 49, *, 65, ***, 56, 40, BKN, 0.00, 0.00, *****, 49, 10.0, *, 9, 0
2015-05-03: *, *****, 57, *, 722, ***, 67, 48, SCT, 0.00, 0.00, *****, 57, 10.0, *, 7, 0
2015-05-02: *, *****, 49, *, 722, ***, 57, 39, SCT, 0.00, 0.00, *****, 49, 10.0, *, 10, 0
2015-05-05: *, *****, 66, *, 110, ***, 82, 52, BKN, 0.00, 0.00, *****, 66, 10.0, *, 7, 0
2015-05-04: *, *****, 64, *, 722, 33, 74, 48, SCT, 0.00, 0.00, *****, 64, 10.0, *, 21, 0
